,V1,V2,V3,Hd1,Hd2,Hd3,I1,I2,I3,Q1,Q2,Q3,P1,P2,P3
2018-05-19 08:00:00+00:00,234.4643,235.7996,235.5729,3.198598013,3.362385865,4.039874473,99.94801,75.22162,33.75544,-6.134774,-4.729806,-5.193918,21.90047,16.3773,4.521292
2018-05-19 08:15:00+00:00,234.468,235.767,235.5432,3.407292104,3.671744485,3.999949813,81.17348,58.1243,34.30904,-6.223447,-4.639348,-5.725451,17.13163,11.91461,4.114213
2018-05-19 08:30:00+00:00,234.4976,235.6907,235.6217,3.248407831,3.373718608,3.853623893,96.08676,75.94916,40.95638,-5.837787,-4.415648,-5.583982,21.03095,16.61816,6.678989
2018-05-19 08:45:00+00:00,233.7782,235.199,234.8067,3.117134087,3.346215539,3.602981911,111.819,77.80629,51.90148,-5.601537,-5.060583,-5.676332,24.85703,16.87618,9.91044
2018-05-19 09:00:00+00:00,233.9823,235.3715,234.9143,3.151903625,3.50898874,3.578825162,104.6691,66.8087,51.31622,-6.46394,-5.462571,-5.671933,22.92591,13.90356,9.817155
2018-05-19 09:15:00+00:00,234.7099,235.9921,235.5353,3.288824186,3.348940816,3.300364748,90.95299,84.29192,60.22201,-6.502976,-5.093583,-5.124254,19.56713,18.45725,12.68814
2018-05-19 09:30:00+00:00,234.7812,236.0696,235.8215,3.168512203,3.143408468,3.496479076,106.6528,98.53978,57.43089,-6.061025,-5.624651,-5.213677,23.58426,21.9392,11.76521
2018-05-19 09:45:00+00:00,235.0082,236.1926,235.8129,3.327804487,3.347839853,3.343162819,89.71684,78.19144,61.97477,-6.340351,-4.731412,-4.780065,19.30398,17.13883,13.20573
2018-05-19 10:00:00+00:00,235.3005,236.471,236.037,3.493127613,3.275478818,3.347572951,78.40802,82.58297,63.76439,-6.638378,-5.057475,-4.725422,16.24315,18.20227,13.64895
2018-05-19 10:15:00+00:00,235.3152,236.608,236.315,3.234057596,3.183768305,3.21340006,100.0488,86.07348,67.91856,-5.937522,-5.197672,-5.641703,22.00807,19.10707,14.46612
2018-05-19 10:30:00+00:00,235.4158,236.7835,236.2968,3.335158001,3.399626816,3.553305405,84.37966,68.57637,52.91646,-6.156819,-5.032281,-5.70728,18.09831,14.71772,10.14176
2018-05-19 10:45:00+00:00,234.8139,236.131,235.6308,3.618752279,3.83046929,3.901563293,70.77052,50.91114,39.44023,-6.591121,-5.434484,-5.230462,14.08978,9.464522,4.453514
2018-05-19 11:00:00+00:00,235.8114,237.1169,236.8508,3.681067268,3.688779949,4.127732432,69.79527,62.02181,28.36431,-6.362388,-5.429358,-5.432448,13.90763,12.53855,1.190965
2018-05-19 11:15:00+00:00,235.9883,237.4204,237.0835,3.400630221,3.587307032,4.143421987,87.25203,64.13379,29.33288,-5.716453,-4.968913,-5.599154,18.89009,13.44458,0.654446
2018-05-19 11:30:00+00:00,235.5837,236.7591,236.6759,3.397973858,3.384510934,4.195736363,86.74077,76.17152,29.87894,-6.732087,-4.369718,-5.448688,18.3619,16.74522,-1.834357
2018-05-19 11:45:00+00:00,236.2362,237.3232,237.2373,3.396449461,3.324043442,4.236597458,86.98182,79.73878,28.76445,-6.657592,-4.124403,-5.214639,18.53908,17.76671,-0.9655104
2018-05-19 12:00:00+00:00,235.6761,237.0682,236.672,3.215005545,3.678606619,4.307252306,93.26113,58.79566,27.114,-5.894319,-4.241178,-4.440944,20.48861,12.25903,-2.25314
2018-05-19 12:15:00+00:00,234.4238,235.7052,235.3243,3.216391542,3.623372197,4.478678187,95.42532,60.23539,21.71057,-6.268553,-4.1772,-3.544177,20.76907,12.63158,-0.4808354
2018-05-19 12:30:00+00:00,234.9066,236.3797,236.1109,3.436670376,3.853948878,3.999147593,80.22565,49.01984,32.94098,-5.367476,-4.939074,-5.162446,17.17079,9.243449,-4.126643
2018-05-19 12:45:00+00:00,235.1703,236.3208,236.1977,3.618605316,3.606156052,3.850644925,69.3271,65.69553,37.54395,-6.236289,-5.044096,-5.654226,13.94488,13.6858,-5.686693
2018-05-19 13:00:00+00:00,235.4767,236.5282,236.6543,3.644489644,3.580919452,3.707860175,72.09707,67.08997,46.50592,-6.723859,-3.440254,-6.084889,14.36428,14.5052,-8.173333
2018-05-19 13:15:00+00:00,235.075,235.7852,236.0502,3.721442235,3.192605358,3.928344679,62.33392,89.13911,37.06536,-6.431525,-2.445033,-5.894705,11.91813,20.28987,-4.935374
2018-05-19 13:30:00+00:00,235.3111,236.0959,236.0784,3.525429503,3.551463957,4.155893776,68.60322,61.38031,28.01456,-6.653305,-3.149759,-5.203872,13.77021,13.3282,-0.747704
2018-05-19 13:45:00+00:00,235.2638,236.2359,236.3489,3.530868876,3.748073877,3.686550244,68.35771,51.24665,43.64027,-6.957751,-3.61206,-5.909166,13.51509,10.55293,-7.315842
2018-05-19 14:00:00+00:00,235.4322,236.5642,236.1851,3.506456692,3.667707655,3.944444309,72.13828,52.21239,32.00954,-6.664897,-4.512471,-5.059343,14.67459,10.49205,4.164629
2018-05-19 14:15:00+00:00,236.0444,237.0056,237.0137,3.628979492,3.661249745,3.890114763,67.63139,61.44048,38.74161,-6.821187,-4.127904,-5.369119,13.30554,12.94791,-5.175889
2018-05-19 14:30:00+00:00,235.9635,237.2324,236.9261,3.483832419,3.667948165,4.077547952,76.12315,59.13481,32.62426,-6.29544,-5.076993,-5.252402,15.87578,12.02602,-3.142446
2018-05-19 14:45:00+00:00,235.8372,237.1782,236.8832,3.36953883,3.85258463,3.77572986,82.57052,49.90858,41.32091,-6.02528,-5.034507,-5.466078,17.6934,9.436277,-6.445385
2018-05-19 15:00:00+00:00,235.7743,237.062,236.9071,3.373099645,3.829176036,3.871164135,84.75542,51.12857,36.85618,-5.908243,-4.427265,-6.052596,18.23757,10.08252,-2.582471
2018-05-19 15:15:00+00:00,235.4352,236.8511,236.6253,3.542223452,4.02955801,3.613300477,73.577,42.00241,53.58635,-6.083555,-5.215851,-6.352746,15.20048,6.823003,-9.0669
2018-05-19 15:30:00+00:00,234.9293,236.4874,236.1928,3.186951627,3.663242621,3.962893861,104.148,57.23319,31.42603,-6.510633,-5.548364,-5.923699,22.85691,11.29366,-2.565734
2018-05-19 15:45:00+00:00,234.4326,235.8603,235.7187,3.202533006,3.312182909,3.724817863,102.3251,78.37624,39.83515,-6.68476,-5.110928,-6.284202,22.28998,17.09709,1.73628
2018-05-19 16:00:00+00:00,233.964,235.2607,235.0934,3.268848528,3.158316576,3.682439009,98.00768,83.913,42.62461,-6.608055,-5.1415,-5.734179,21.14588,18.50737,6.846678
2018-05-19 16:15:00+00:00,233.532,234.5193,234.4847,3.388684758,3.054119099,3.942820458,82.47758,96.8689,34.86552,-7.194427,-5.338446,-5.978272,17.01641,21.56989,-1.091251
2018-05-19 16:30:00+00:00,233.0613,234.3544,233.9848,3.323285569,3.415992065,3.801010995,87.4405,70.38068,39.48308,-6.950145,-5.29559,-5.89406,18.35684,14.83583,1.924166
2018-05-19 16:45:00+00:00,234.833,235.8839,235.6935,3.385049707,3.36239834,4.046969546,83.94573,75.21402,31.398,-7.503702,-4.572351,-6.053492,17.3459,16.42503,1.384241
2018-05-19 17:00:00+00:00,235.9459,237.0668,236.599,3.370118051,3.130773089,3.697181149,85.9679,88.18779,47.19049,-7.269164,-4.568154,-4.474384,18.07757,19.83963,8.884026
